## 1
## 반면 한국을 이긴 일본은 2승1패를 기록했다 .
## 반면 <한국:ORG>을 이긴 <일본:ORG>은 <2승:NOH><1패:NOH>를 기록했다 .
반면	반면	NNG	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
주	주	NNG	I-LOC
_	_	_	O
피츠퍼드	피츠퍼드	NNP	B-LOC
의	의	JKG	O
_	_	_	O
로커	로커	NNG	B-LOC
스트	스트	NNG	I-LOC
힐	힐	NNP	I-LOC
골프장	골프장	NNG	I-LOC
(	(	SS	O
파	파	NNG	B-NOH
72	72	SN	I-NOH
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
6328	6328	SN	B-NOH
야드	야드	NNB	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
끝난	끝나+ㄴ	VV+ETM	O
_	_	_	O
미국	미국	NNP	B-POH
여자	여자	NNG	I-POH
프로	프로	NNG	I-POH
골프	골프	NNG	I-POH
(	(	SS	I-POH
LPGA	LPGA	SL	I-POH
)	)	SS	I-POH
투어	투어	NNG	I-POH
_	_	_	I-POH
웨그먼스	웨그먼스	NNP	I-POH
LPGA	LPGA	SL	I-POH
(	(	SS	O
총	총	XPN	O
상금	상금	NNG	O
_	_	_	O
200	200	SN	B-MNY
만	만	NR	I-MNY
달러	달러	NNB	I-MNY
)	)	SS	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
4	4	SN	B-NOH
라운드	라운드	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
5	5	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
줄	줄이	VV	O
여	어	EC	O
_	_	_	O
합계	합계	NNG	O
_	_	_	O
16	16	SN	B-NOH
언더파	언더파	NNG	I-NOH
_	_	_	O
272	272	SN	B-NOH
타	타	NNG	I-NOH
로	로	JKB	O
_	_	_	O
대	대	XPN	O
역전	역전	NNG	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
일궈	일구+어	VV+EC	O
냈	내+었	VX+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 333
## 지은희의 티 샷이 홀 3m 지점에 떨어지자 페테르센의 얼굴에는 긴장한 기색이 역력했다 .
## <지은희:PER>의 티 샷이 홀 <3m:NOH> 지점에 떨어지자 <페테르센:PER>의 얼굴에는 긴장한 기색이 역력했다 .
지은희	지은희	NNP	B-PER
의	의	JKG	O
_	_	_	O
티	티	NNG	O
_	_	_	O
샷	샷	NNG	O
이	이	JKS	O
_	_	_	O
홀	홀	NNG	O
_	_	_	O
3	3	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
지점	지점	NNG	O
에	에	JKB	O
_	_	_	O
떨어지	떨어지	VV	O
자	자	EC	O
_	_	_	O
페테르	페테르	NNP	B-PER
센	센	NNP	I-PER
의	의	JKG	O
_	_	_	O
얼굴	얼굴	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
긴장한	긴장하+ㄴ	VV+ETM	O
_	_	_	O
기색	기색	NNG	O
이	이	JKS	O
_	_	_	O
역력	역력하	VA	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 334
## 지은희는 경기후 "17번홀 버디가 들어가면서 우승을 확신했다"면서 우승의 기쁨을 만끽했다 .
## <지은희:PER>는 경기후 "<17번:NOH>홀 버디가 들어가면서 우승을 확신했다"면서 우승의 기쁨을 만끽했다 .
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
경기	경기	NNG	O
후	후	NNG	O
_	_	_	O
"	"	SS	O
17	17	SN	B-NOH
번	번	NNB	I-NOH
홀	홀	NNG	O
_	_	_	O
버디	버디	NNG	O
가	가	JKS	O
_	_	_	O
들어가	들어가	VV	O
면서	면서	EC	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
확신	확신하	VV	O
했	었	EP	O
다	다	EF	O
"	"	SS	O
면서	면서	EC	O
_	_	_	O
우승	우승	NNG	O
의	의	JKG	O
_	_	_	O
기쁨	기쁨	NNG	O
을	을	JKO	O
_	_	_	O
만끽	만끽하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 335
## 웃는 모습이 만화영화 '미키마우스'의 캐릭터와 똑같다고 해서 붙여진 별명이다 .
## 웃는 모습이 만화영화 '<미키마우스:PER>'의 캐릭터와 똑같다고 해서 붙여진 별명이다 .
웃	웃	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
만화	만화	NNG	O
영화	영화	NNG	O
_	_	_	O
'	'	SS	O
미키마우스	미키마우스	NNP	B-PER
'	'	SS	O
의	의	JKG	O
_	_	_	O
캐릭터	캐릭터	NNG	O
와	와	JKB	O
_	_	_	O
똑같	똑같	VA	O
다고	다고	EC	O
_	_	_	O
해서	하+여서	VV+EC	O
_	_	_	O
붙	붙이	VV	O
여	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
별명	별명	NNG	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 336
## 2004년 2부투어를 통해 이듬해 투어에 합류한 지은희는 그러나 2년간 '무관'으로 전락하며 인고의 시절을 보내기도 했다 .
## <2004년:DAT> <2부:NOH>투어를 통해 이듬해 투어에 합류한 <지은희:PER>는 그러나 <2년간:DUR> '무관'으로 전락하며 인고의 시절을 보내기도 했다 .
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
2	2	SN	B-NOH
부	부	NNB	I-NOH
투어	투어	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
이듬해	이듬해	NNG	O
_	_	_	O
투어	투어	NNG	O
에	에	JKB	O
_	_	_	O
합류한	합류하+ㄴ	VV+ETM	O
_	_	_	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
그러나	그러나	MAJ	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
'	'	SS	O
무관	무관	NNG	O
'	'	SS	O
으로	으로	JKB	O
_	_	_	O
전락하	전락하	VV	O
며	며	EC	O
_	_	_	O
인고	인고	NNG	O
의	의	JKG	O
_	_	_	O
시절	시절	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 337
## 체육진흥투표권 수탁사업자인 스포츠토토㈜(www.sportstoto.co.kr)는 지난 22일 열린 2008 월드리그 국제남자배구대회 한국-이탈리아전을 대상으로 한 배구토토 매치 67회차 게임에서 최종 세트스코어와 3세트까지의 점수차를 정확히 맞힌 적중자가 178명 나와 각각 베팅금액의 620.6배에 해당하는 적중상금을 가져갔다고 밝혔다 .
## 체육진흥투표권 수탁사업자인 <스포츠토토㈜:POH>(<www.sportstoto.co.kr:POH>)는 지난 <22일:DAT> 열린 <2008:DAT> <월드리그 국제남자배구대회:POH> <한국-이탈리아전:POH>을 대상으로 한 배구토토 매치 <67회:NOH>차 게임에서 최종 세트스코어와 <3세트:NOH>까지의 점수차를 정확히 맞힌 적중자가 <178명:NOH> 나와 각각 베팅금액의 <620.6배:PNT>에 해당하는 적중상금을 가져갔다고 밝혔다 .
체육	체육	NNG	O
진흥	진흥	NNG	O
투표권	투표권	NNG	O
_	_	_	O
수탁	수탁	NNG	O
사업자	사업자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
스포츠토토	스포츠토토	NNP	B-POH
㈜	㈜	SW	I-POH
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
sportstoto	sportstoto	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
)	)	SS	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
2008	2008	SN	B-DAT
_	_	_	O
월드	월드	NNG	B-POH
리그	리그	NNG	I-POH
_	_	_	I-POH
국제	국제	NNG	I-POH
남자	남자	NNG	I-POH
배구	배구	NNG	I-POH
대회	대회	NNG	I-POH
_	_	_	O
한국	한국	NNP	B-POH
-	-	SO	I-POH
이탈리아	이탈리아	NNP	I-POH
전	전	XSN	I-POH
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
배구	배구	NNG	O
토토	토토	NNP	O
_	_	_	O
매치	매치	NNG	O
_	_	_	O
67	67	SN	B-NOH
회	회	NNB	I-NOH
차	차	NNB	O
_	_	_	O
게임	게임	NNG	O
에서	에서	JKB	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
세트	세트	NNG	O
스코어	스코어	NNG	O
와	와	JC	O
_	_	_	O
3	3	SN	B-NOH
세트	세트	NNG	I-NOH
까지	까지	JX	O
의	의	JKG	O
_	_	_	O
점수	점수	NNG	O
차	차	NNG	O
를	를	JKO	O
_	_	_	O
정확히	정확히	MAG	O
_	_	_	O
맞힌	맞히+ㄴ	VV+ETM	O
_	_	_	O
적중	적중	NNG	O
자	자	XSN	O
가	가	JKS	O
_	_	_	O
178	178	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
베팅	베팅	NNG	O
금액	금액	NNG	O
의	의	JKG	O
_	_	_	O
620.6	620.6	SN	B-PNT
배	배	NNG	I-PNT
에	에	JKB	O
_	_	_	O
해당하	해당하	VV	O
는	는	ETM	O
_	_	_	O
적중	적중	NNG	O
상금	상금	NNG	O
을	을	JKO	O
_	_	_	O
가져갔	가져가+았	VV+EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 338
## 홈 어웨이 방식으로 진행되는 이번 월드리그에서 한국을 비롯해 홈팀들이 경기 초반 러시아, 이탈리아 등 강팀과 대등한 경기를 펼친 결과로 분석된다 .
## 홈 어웨이 방식으로 진행되는 이번 월드리그에서 <한국:ORG>을 비롯해 홈팀들이 경기 초반 <러시아:ORG>, <이탈리아:ORG> 등 강팀과 대등한 경기를 펼친 결과로 분석된다 .
홈	홈	NNG	O
_	_	_	O
어웨이	어웨이	NNG	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
진행되	진행되	VV	O
는	는	ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
월드	월드	NNG	O
리그	리그	NNG	O
에서	에서	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
홈팀	홈팀	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
초반	초반	NNG	O
_	_	_	O
러시아	러시아	NNP	B-ORG
,	,	SP	O
_	_	_	O
이탈리아	이탈리아	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
강팀	강팀	NNG	O
과	과	JKB	O
_	_	_	O
대등한	대등하+ㄴ	VA+ETM	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
펼친	펼치+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
로	로	JKB	O
_	_	_	O
분석된다	분석되+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 339
## 우승상금 30만 달러를 차지한 지은희는 챔피언에게 주어지는 2년짜리 풀시드를 획득하는 동시에 우승 상금 100만 달러가 걸린 ADT챔피언십 출전권까지 함께 따냈다 .
## 우승상금 <30만 달러:MNY>를 차지한 <지은희:PER>는 챔피언에게 주어지는 <2년:DUR>짜리 풀시드를 획득하는 동시에 우승 상금 <100만 달러:MNY>가 걸린 <ADT챔피언십:POH> 출전권까지 함께 따냈다 .
우승	우승	NNG	O
상금	상금	NNG	O
_	_	_	O
30	30	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNG	I-MNY
를	를	JKO	O
_	_	_	O
차지한	차지하+ㄴ	VV+ETM	O
_	_	_	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
챔피언	챔피언	NNG	O
에게	에게	JKB	O
_	_	_	O
주어지	주어지	VV	O
는	는	ETM	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
짜리	짜리	XSN	O
_	_	_	O
풀시드	풀시드	NNG	O
를	를	JKO	O
_	_	_	O
획득하	획득하	VV	O
는	는	ETM	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
우승	우승	NNG	O
_	_	_	O
상금	상금	NNG	O
_	_	_	O
100	100	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
가	가	JKS	O
_	_	_	O
걸린	걸리+ㄴ	VV+ETM	O
_	_	_	O
ADT	ADT	SL	B-POH
챔피언십	챔피언십	NNG	I-POH
_	_	_	O
출전권	출전권	NNG	O
까지	까지	JX	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
따	따+아	VV+EC	O
냈	내+었	VX+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 340
## 페테르손에 3타차로 뒤진 채 경기를 시작했지만 결과는 2타차 완승이었다 .
## <페테르손:PER>에 <3타:NOH>차로 뒤진 채 경기를 시작했지만 결과는 <2타:NOH>차 완승이었다 .
페테르	페테르	NNP	B-PER
손	손	NNG	I-PER
에	에	JKB	O
_	_	_	O
3	3	SN	B-NOH
타	타	NNG	I-NOH
차	차	NNG	O
로	로	JKB	O
_	_	_	O
뒤진	뒤지+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
결과	결과	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
타	타	NNG	I-NOH
차	차	NNG	O
_	_	_	O
완승	완승	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 341
## 김인경 등 동료들의 축하 샴페인 세례를 받은 지은희는 “지난해 수잔에게 진 빚을 오늘 돌려 받았다”며 “오늘처럼 샷이 좋다면 앞으로 여러 차례 더 우승할 수 있을 것”이라고 말했다 .
## <김인경:PER> 등 동료들의 축하 샴페인 세례를 받은 <지은희:PER>는 “지난해 수잔에게 진 빚을 오늘 돌려 받았다”며 “오늘처럼 샷이 좋다면 앞으로 여러 차례 더 우승할 수 있을 것”이라고 말했다 .
김인경	김인경	NNP	B-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
동료	동료	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
축하	축하	NNG	O
_	_	_	O
샴페인	샴페인	NNG	O
_	_	_	O
세례	세례	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
지난해	지난해	NNG	O
_	_	_	O
수잔	수잔	NNP	O
에게	에게	JKB	O
_	_	_	O
진	지+ㄴ	VV+ETM	O
_	_	_	O
빚	빚	NNG	O
을	을	JKO	O
_	_	_	O
오늘	오늘	MAG	O
_	_	_	O
돌려	돌리+어	VV+EC	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
오늘	오늘	NNG	O
처럼	처럼	JKB	O
_	_	_	O
샷	샷	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
다면	다면	EC	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
우승할	우승하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 342
## 이지영 등을 제치고 우승하며 두각을 나타낸 지은희는 이듬해 5월 88CC에서 열린 엑스캔버스오픈에서 아마추어로 박세리와 대등한 경기를 펼쳐 세상을 깜짝 놀라게 했다 .
## <이지영:PER> 등을 제치고 우승하며 두각을 나타낸 <지은희:PER>는 이듬해 <5월:DAT> <88CC:LOC>에서 열린 <엑스캔버스오픈:POH>에서 아마추어로 <박세리:PER>와 대등한 경기를 펼쳐 세상을 깜짝 놀라게 했다 .
이지영	이지영	NNP	B-PER
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
제치	제치	VV	O
고	고	EC	O
_	_	_	O
우승하	우승하	VV	O
며	며	EC	O
_	_	_	O
두각	두각	NNG	O
을	을	JKO	O
_	_	_	O
나타낸	나타내+ㄴ	VV+ETM	O
_	_	_	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
이듬해	이듬해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
88	88	SN	B-LOC
CC	CC	SL	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
엑스캔버스	엑스캔버스	NNP	B-POH
오픈	오픈	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
아마추어	아마추어	NNG	O
로	로	JKB	O
_	_	_	O
박세리	박세리	NNP	B-PER
와	와	JKB	O
_	_	_	O
대등한	대등하+ㄴ	VA+ETM	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
펼쳐	펼치+어	VV+EC	O
_	_	_	O
세상	세상	NNG	O
을	을	JKO	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
놀라	놀라	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 343
## 휘닉스파크클래식에서 박희영의 거센 추격을 뿌리치고 첫 우승에 성공한 지은희는 KB 스타투어 2차 대회에서 2주 연속 우승하며 잃었던 미소를 찾았다 .
## <휘닉스파크클래식:POH>에서 <박희영:PER>의 거센 추격을 뿌리치고 첫 우승에 성공한 <지은희:PER>는 <KB 스타투어:POH> <2차:NOH> 대회에서 <2주:DUR> 연속 우승하며 잃었던 미소를 찾았다 .
휘닉스파크	휘닉스파크	NNP	B-POH
클래식	클래식	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
박희영	박희영	NNP	B-PER
의	의	JKG	O
_	_	_	O
거센	거세+ㄴ	VA+ETM	O
_	_	_	O
추격	추격	NNG	O
을	을	JKO	O
_	_	_	O
뿌리치	뿌리치	VV	O
고	고	EC	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
우승	우승	NNG	O
에	에	JKB	O
_	_	_	O
성공한	성공하+ㄴ	VV+ETM	O
_	_	_	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
KB	KB	SL	B-POH
_	_	_	I-POH
스타	스타	NNG	I-POH
투어	투어	NNG	I-POH
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
연속	연속	NNG	O
_	_	_	O
우승하	우승하	VV	O
며	며	EC	O
_	_	_	O
잃	잃	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
미소	미소	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
았	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 344
## 정회원은 월 3회 주말부킹이 보장되며 본인은 그린피가 무료이며 부회원 1인은 주중 그린피 면제 .
## 정회원은 월 <3회:NOH> 주말부킹이 보장되며 본인은 그린피가 무료이며 부회원 <1인:NOH>은 주중 그린피 면제 .
정회원	정회원	NNG	O
은	은	JX	O
_	_	_	O
월	월	NNB	O
_	_	_	O
3	3	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
주말	주말	NNG	O
부킹	부킹	NNG	O
이	이	JKS	O
_	_	_	O
보장되	보장되	VV	O
며	며	EC	O
_	_	_	O
본인	본인	NNG	O
은	은	JX	O
_	_	_	O
그린피	그린피	NNG	O
가	가	JKS	O
_	_	_	O
무료	무료	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
부	부	NNG	O
회원	회원	NNG	O
_	_	_	O
1	1	SN	B-NOH
인	인	NNG	I-NOH
은	은	JX	O
_	_	_	O
주	주	NNG	O
중	중	NNB	O
_	_	_	O
그린피	그린피	NNG	O
_	_	_	O
면제	면제	NNG	O
_	_	_	O
.	.	SF	O

## 345
## 핑골프는 또 홈페이지(www.pinggolf.co.kr)에서 퀴즈 이벤트를 열어 참가자 가운데 추첨을 통해 로레나 오초아가 사용하는 레드우드 ZB퍼터를 비롯한 상품을 선물로 준다 .
## <핑골프:ORG>는 또 홈페이지(<www.pinggolf.co.kr:POH>)에서 퀴즈 이벤트를 열어 참가자 가운데 추첨을 통해 <로레나 오초아:PER>가 사용하는 <레드우드 ZB퍼터:POH>를 비롯한 상품을 선물로 준다 .
핑	핑	NNP	B-ORG
골프	골프	NNG	I-ORG
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
홈페이지	홈페이지	NNG	O
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
pinggolf	pinggolf	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
퀴즈	퀴즈	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
_	_	_	O
참가자	참가자	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
추첨	추첨	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
로레나	로레나	NNP	B-PER
_	_	_	I-PER
오초아	오초아	NNP	I-PER
가	가	JKS	O
_	_	_	O
사용하	사용하	VV	O
는	는	ETM	O
_	_	_	O
레드우드	레드우드	NNG	B-POH
_	_	_	I-POH
ZB	ZB	SL	I-POH
퍼터	퍼터	NNG	I-POH
를	를	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
상품	상품	NNG	O
을	을	JKO	O
_	_	_	O
선물	선물	NNG	O
로	로	JKB	O
_	_	_	O
준다	주+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 346
## 지은희 'LPGA 우승' 원동력은 ?
## <지은희:PER> '<LPGA:POH> 우승' 원동력은 ?
지은희	지은희	NNP	B-PER
_	_	_	O
'	'	SS	O
LPGA	LPGA	SL	B-POH
_	_	_	O
우승	우승	NNG	O
'	'	SS	O
_	_	_	O
원동력	원동력	NNG	O
은	은	JX	O
_	_	_	O
?	?	SF	O

## 347
## 처녀출전하는 대회였지만 대회장인 로커스트힐CC에서의 연습라운드는 프로암을 포함해 두 번밖에 하지 않았다 .
## 처녀출전하는 대회였지만 대회장인 <로커스트힐CC:LOC>에서의 연습라운드는 프로암을 포함해 <두 번:NOH>밖에 하지 않았다 .
처녀	처녀	NNG	O
출전하	출전하	VV	O
는	는	ETM	O
_	_	_	O
대회	대회+이	NNG+VCP	O
였	었	EP	O
지만	지만	EC	O
_	_	_	O
대회장	대회장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
로커스트힐	로커스트힐	NNP	B-LOC
CC	CC	SL	I-LOC
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
연습	연습	NNG	O
라운드	라운드	NNG	O
는	는	JX	O
_	_	_	O
프로암	프로암	NNP	O
을	을	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
밖에	밖에	JX	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 348
## 국내에서 뛸 때부터 늘 퍼팅을 약점이라고 여기고 있던 지은희는 이번 대회에서 라운드당 26.3개의 ‘짠물’ 퍼팅으로 우승을 이끌었다 .
## 국내에서 뛸 때부터 늘 퍼팅을 약점이라고 여기고 있던 <지은희:PER>는 이번 대회에서 라운드당 <26.3개:NOH>의 ‘짠물’ 퍼팅으로 우승을 이끌었다 .
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
뛸	뛰+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
늘	늘	MAG	O
_	_	_	O
퍼팅	퍼팅	NNG	O
을	을	JKO	O
_	_	_	O
약점	약점	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
여기	여기	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
던	던	ETM	O
_	_	_	O
지은희	지은희	NNP	B-PER
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
_	_	_	O
라운드	라운드	NNG	O
당	당	XSN	O
_	_	_	O
26.3	26.3	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
짠물	짠물	NNG	O
’	’	SS	O
_	_	_	O
퍼팅	퍼팅	NNG	O
으로	으로	JKB	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
이끌	이끌	VV	O
었	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 349
## 정상적인 스윙이라면 9시 방향에서 클럽 페이스가 정면을 바라 봐야 합니다 .
## 정상적인 스윙이라면 <9시:NOH> 방향에서 클럽 페이스가 정면을 바라 봐야 합니다 .
정상적	정상적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
스윙	스윙	NNG	O
이	이	VCP	O
라면	라면	EC	O
_	_	_	O
9	9	SN	B-NOH
시	시	NNB	I-NOH
_	_	_	O
방향	방향	NNG	O
에서	에서	JKB	O
_	_	_	O
클럽	클럽	NNG	O
_	_	_	O
페이스	페이스	NNG	O
가	가	JKS	O
_	_	_	O
정면	정면	NNG	O
을	을	JKO	O
_	_	_	O
바라	바라+아	VV+EC	O
_	_	_	O
봐야	보+아야	VX+EC	O
_	_	_	O
합니다	하+ㅂ니다	VX+EC	O
_	_	_	O
.	.	SF	O

## 350
## 이경수(LIG손해보험)가 빠진 한국팀의 ‘해결사’로 팀을 이끌었다 .
## <이경수:PER>(<LIG손해보험:ORG>)가 빠진 한국팀의 ‘해결사’로 팀을 이끌었다 .
이경수	이경수	NNP	B-PER
(	(	SS	O
LIG	LIG	SL	B-ORG
손해보험	손해보험	NNG	I-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
해결사	해결사	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
팀	팀	NNG	O
을	을	JKO	O
